food_code,food_code_description,category_number,category_description,reports_day1,reports_day2
11000000,"Milk, human",9602,Human milk,766,607
11100000,"Milk, NFS",1004,"Milk, reduced fat",177,68
11111000,"Milk, cow's, fluid, whole",1002,"Milk, whole",1762,1618
11111100,"Milk, cow's, fluid, whole, low-sodium",1002,"Milk, whole",0,0
11111150,"Milk, calcium fortified, cow's, fluid, whole",1002,"Milk, whole",0,0
11111160,"Milk, calcium fortified, cow's, fluid, 1% fat",1006,"Milk, lowfat",5,2
11111170,"Milk, calcium fortified, cow's, fluid, skim or nonfat",1008,"Milk, nonfat",5,1
11112110,"Milk, cow's, fluid, 2% fat",1004,"Milk, reduced fat",2283,2239
11112120,"Milk, cow's, fluid, acidophilus, 1% fat",1006,"Milk, lowfat",0,0
11112130,"Milk, cow's, fluid, acidophilus, 2% fat",1004,"Milk, reduced fat",1,0
11112210,"Milk, cow's, fluid, 1% fat",1006,"Milk, lowfat",876,874
11113000,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",1008,"Milk, nonfat",555,527
11114300,"Milk, cow's, fluid, lactose reduced, 1% fat",1006,"Milk, lowfat",18,16
11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",1006,"Milk, lowfat",0,0
11114320,"Milk, cow's, fluid, lactose reduced, nonfat",1008,"Milk, nonfat",14,10
11114321,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium",1008,"Milk, nonfat",0,0
11114330,"Milk, cow's, fluid, lactose reduced, 2% fat",1004,"Milk, reduced fat",20,13
11114350,"Milk, cow's, fluid, lactose reduced, whole",1002,"Milk, whole",20,5
11115000,"Buttermilk, fluid, nonfat",1008,"Milk, nonfat",5,5
11115100,"Buttermilk, fluid, 1% fat",1006,"Milk, lowfat",0,2
11115200,"Buttermilk, fluid, 2% fat",1004,"Milk, reduced fat",1,0
11115300,"Buttermilk, fluid, whole",1002,"Milk, whole",1,3
11116000,"Milk, goat's, fluid, whole",1002,"Milk, whole",5,1
11120000,"Milk, dry, reconstituted, NFS",1008,"Milk, nonfat",0,0
11121100,"Milk, dry, reconstituted, whole",1002,"Milk, whole",2,2
11121210,"Milk, dry, reconstituted, lowfat",1006,"Milk, lowfat",1,0
11121300,"Milk, dry, reconstituted, nonfat",1008,"Milk, nonfat",10,11
11210050,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)",1002,"Milk, whole",14,8
11211050,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",1002,"Milk, whole",16,15
11211400,"Milk, evaporated, 2% fat (formerly NS as to dilution)",1004,"Milk, reduced fat",6,2
11212050,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)",1008,"Milk, nonfat",2,1
11220000,"Milk, condensed, sweetened (formerly NS as to dilution)",1202,"Flavored milk, whole",32,6
11320000,"Milk, soy, ready-to-drink, not baby's",1404,Milk substitutes,127,139
11320100,"Milk, soy, light, ready-to-drink, not baby's",1404,Milk substitutes,19,11
11320200,"Milk, soy, nonfat, ready-to-drink, not baby's",1404,Milk substitutes,15,10
11321000,"Milk, soy, ready-to-drink, not baby's, chocolate",1404,Milk substitutes,9,6
11321100,"Milk, soy, light, ready-to-drink, not baby's, chocolate",1404,Milk substitutes,1,2
11321200,"Milk, soy, nonfat, ready-to-drink, not baby's, chocolate",1404,Milk substitutes,0,1
11340000,"Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate",1404,Milk substitutes,0,0
11350000,"Milk, almond, ready-to-drink",1404,Milk substitutes,62,62
11350010,"Milk, almond, ready-to-drink, chocolate",1404,Milk substitutes,2,2
11410000,"Yogurt, NS as to type of milk or flavor",1804,"Yogurt, lowfat and nonfat",18,4
11411010,"Yogurt, plain, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",30,11
11411100,"Yogurt, plain, whole milk",1802,"Yogurt, whole and reduced fat",38,44
11411200,"Yogurt, plain, lowfat milk",1804,"Yogurt, lowfat and nonfat",62,58
11411300,"Yogurt, plain, nonfat milk",1804,"Yogurt, lowfat and nonfat",25,30
11420000,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",11,8
11421000,"Yogurt, vanilla, lemon, or coffee flavor, whole milk",1802,"Yogurt, whole and reduced fat",27,16
11422000,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk",1804,"Yogurt, lowfat and nonfat",44,40
11422100,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",1804,"Yogurt, lowfat and nonfat",19,21
11423000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",1804,"Yogurt, lowfat and nonfat",4,15
11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener",1804,"Yogurt, lowfat and nonfat",3,12
11425000,"Yogurt, chocolate, NS as to type of milk",1804,"Yogurt, lowfat and nonfat",0,0
11426000,"Yogurt, chocolate, whole milk",1802,"Yogurt, whole and reduced fat",1,0
11427000,"Yogurt, chocolate, nonfat milk",1804,"Yogurt, lowfat and nonfat",2,0
11430000,"Yogurt, fruit variety, NS as to type  of milk",1804,"Yogurt, lowfat and nonfat",92,55
11431000,"Yogurt, fruit variety, whole milk",1802,"Yogurt, whole and reduced fat",66,122
11432000,"Yogurt, fruit variety, lowfat milk",1804,"Yogurt, lowfat and nonfat",220,221
11432500,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener",1804,"Yogurt, lowfat and nonfat",84,89
11433000,"Yogurt, fruit variety, nonfat milk",1804,"Yogurt, lowfat and nonfat",14,45
11433500,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",1804,"Yogurt, lowfat and nonfat",22,22
11446000,Fruit and lowfat yogurt parfait,1804,"Yogurt, lowfat and nonfat",2,3
11459990,"Yogurt, frozen, NS as to flavor, NS as to type of milk",5802,Ice cream and frozen dairy desserts,4,1
11460000,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk",5802,Ice cream and frozen dairy desserts,15,24
11460100,"Yogurt, frozen, chocolate, NS as to type of milk",5802,Ice cream and frozen dairy desserts,1,1
11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",5802,Ice cream and frozen dairy desserts,0,0
11460160,"Yogurt, frozen, chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,3,0
11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,12,20
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",5802,Ice cream and frozen dairy desserts,0,1
11460200,"Yogurt, frozen, chocolate, nonfat milk",5802,Ice cream and frozen dairy desserts,0,0
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",5802,Ice cream and frozen dairy desserts,0,2
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk",5802,Ice cream and frozen dairy desserts,6,6
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",5802,Ice cream and frozen dairy desserts,2,1
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",5802,Ice cream and frozen dairy desserts,15,15
11460420,"Yogurt, frozen, NS as to flavor, whole milk",5802,Ice cream and frozen dairy desserts,0,0
11460430,"Yogurt, frozen, chocolate, whole milk",5802,Ice cream and frozen dairy desserts,0,0
11460440,"Yogurt, frozen, flavors other than chocolate, whole milk",5802,Ice cream and frozen dairy desserts,0,0
11461000,"Yogurt, frozen, chocolate-coated",5802,Ice cream and frozen dairy desserts,0,0
11461200,"Yogurt, frozen, sandwich",5802,Ice cream and frozen dairy desserts,0,0
11461250,"Yogurt, frozen, cone, chocolate",5802,Ice cream and frozen dairy desserts,0,0
11461260,"Yogurt, frozen, cone, flavors other than chocolate",5802,Ice cream and frozen dairy desserts,0,1
11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,4,1
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",5802,Ice cream and frozen dairy desserts,0,0
11480010,"Yogurt, whole milk, baby food",9010,Baby food: yogurt,10,3
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",9010,Baby food: yogurt,1,0
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",9010,Baby food: yogurt,0,0
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",9010,Baby food: yogurt,0,0
11511000,"Milk, chocolate, NFS",1204,"Flavored milk, reduced fat",101,48
11511100,"Milk, chocolate, whole milk-based",1202,"Flavored milk, whole",100,109
11511200,"Milk, chocolate, reduced fat milk-based, 2% (formerly ""lowfat"")",1204,"Flavored milk, reduced fat",135,166
11511300,"Milk, chocolate, skim milk-based",1208,"Flavored milk, nonfat",21,33
11511400,"Milk, chocolate, lowfat milk-based",1206,"Flavored milk, lowfat",97,84
11512000,"Cocoa, hot chocolate, not from dry mix, made with whole milk",1202,"Flavored milk, whole",7,4
11512500,"Hot chocolate, Puerto Rican style, made with whole milk",1202,"Flavored milk, whole",9,0
11512510,"Hot chocolate, Puerto Rican style, made with low fat milk",1202,"Flavored milk, whole",20,2
11513000,"Cocoa and sugar mixture, milk added, NS as to type of milk",1204,"Flavored milk, reduced fat",3,3
11513100,"Cocoa and sugar mixture, whole milk added",1202,"Flavored milk, whole",49,20
11513150,"Cocoa and sugar mixture, reduced fat milk added",1204,"Flavored milk, reduced fat",44,42
11513200,"Cocoa and sugar mixture, lowfat milk added",1206,"Flavored milk, lowfat",20,20
11513300,"Cocoa and sugar mixture, skim milk added",1208,"Flavored milk, nonfat",3,3
11513350,"Cocoa and sugar mixture, reduced sugar, milk added, NS as to type of milk",1204,"Flavored milk, reduced fat",0,0
11513355,"Cocoa and sugar mixture, reduced sugar, whole milk added",1202,"Flavored milk, whole",1,0
11513360,"Cocoa and sugar mixture, reduced sugar, reduced fat milk added",1204,"Flavored milk, reduced fat",0,4
11513365,"Cocoa and sugar mixture, reduced sugar, lowfat milk added",1206,"Flavored milk, lowfat",1,0
11513370,"Cocoa and sugar mixture, reduced sugar, skim milk added",1208,"Flavored milk, nonfat",0,0
11513400,"Chocolate syrup, milk added, NS as to type of milk",1204,"Flavored milk, reduced fat",5,0
11513500,"Chocolate syrup, whole milk added",1202,"Flavored milk, whole",29,16
11513550,"Chocolate syrup, reduced fat milk added",1204,"Flavored milk, reduced fat",23,16
11513600,"Chocolate syrup, lowfat milk added",1206,"Flavored milk, lowfat",5,8
11513700,"Chocolate syrup, skim milk added",1208,"Flavored milk, nonfat",0,6
11514100,"Cocoa, sugar, and dry milk mixture, water added",1402,Milk shakes and other dairy drinks,52,49
11514300,"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added",1402,Milk shakes and other dairy drinks,4,12
11514500,"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added",1402,Milk shakes and other dairy drinks,0,0
11515100,"Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style",1202,"Flavored milk, whole",0,0
11516000,"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added",1206,"Flavored milk, lowfat",4,4
11518050,"Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate",1402,Milk shakes and other dairy drinks,0,0
11519000,"Milk beverage, made with whole milk, flavors other than chocolate",1202,"Flavored milk, whole",7,0
11519040,"Milk, flavors other than chocolate, NFS",1204,"Flavored milk, reduced fat",14,12
11519050,"Milk, flavors other than chocolate, whole milk-based",1202,"Flavored milk, whole",18,10
11519105,"Milk, flavors other than chocolate, reduced fat milk-based",1204,"Flavored milk, reduced fat",20,15
11519200,"Milk, flavors other than chocolate, lowfat milk-based",1206,"Flavored milk, lowfat",11,12
11519205,"Milk, flavors other than chocolate, skim-milk based",1208,"Flavored milk, nonfat",2,3
11520000,"Milk, malted, unfortified, NS as to flavor, made with milk",1204,"Flavored milk, reduced fat",0,0
11521000,"Milk, malted, unfortified, chocolate, made with milk",1204,"Flavored milk, reduced fat",1,0
11522000,"Milk, malted, unfortified, natural flavor, made with milk",1204,"Flavored milk, reduced fat",1,0
11525000,"Milk, malted, fortified, natural flavor, made with milk",1204,"Flavored milk, reduced fat",0,1
11526000,"Milk, malted, fortified, chocolate, made with milk",1204,"Flavored milk, reduced fat",18,18
11527000,"Milk, malted, fortified, NS as to flavor, made with milk",1204,"Flavored milk, reduced fat",0,0
11531000,"Eggnog, made with whole milk",1402,Milk shakes and other dairy drinks,6,3
11531500,"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)",1402,Milk shakes and other dairy drinks,0,2
11541000,"Milk shake, NS as to flavor or type",1402,Milk shakes and other dairy drinks,0,0
11541100,"Milk shake, homemade or fountain-type, NS as to flavor",1402,Milk shakes and other dairy drinks,0,0
11541110,"Milk shake, homemade or fountain-type, chocolate",1402,Milk shakes and other dairy drinks,6,3
11541120,"Milk shake, homemade or fountain-type, flavors other than chocolate",1402,Milk shakes and other dairy drinks,16,17
11541400,Milk shake with malt,1402,Milk shakes and other dairy drinks,0,0
11541500,"Milk shake, made with skim milk, chocolate",1402,Milk shakes and other dairy drinks,0,1
11541510,"Milk shake, made with skim milk, flavors other than chocolate",1402,Milk shakes and other dairy drinks,0,1
11542000,"Carry-out milk shake, NS as to flavor",1402,Milk shakes and other dairy drinks,0,0
11542100,"Carry-out milk shake, chocolate",1402,Milk shakes and other dairy drinks,15,8
11542200,"Carry-out milk shake, flavors other than chocolate",1402,Milk shakes and other dairy drinks,44,26
11551050,Milk fruit drink,7204,Fruit drinks,28,21
11552200,Orange Julius,7204,Fruit drinks,0,0
11553000,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",7204,Fruit drinks,93,104
11553100,"Fruit smoothie drink, NFS",7204,Fruit drinks,5,2
11560000,"Chocolate-flavored drink, whey- and milk-based",1402,Milk shakes and other dairy drinks,12,2
11560020,"Flavored milk drink, whey- and milk-based, flavors other than chocolate",1402,Milk shakes and other dairy drinks,0,0
11561000,Cafe con leche,7302,Coffee,101,91
11561010,Cafe con leche prepared with sugar,7302,Coffee,1,0
11710000,"Infant formula, NFS",9402,"Formula, ready-to-feed",15,9
11710050,"Similac Expert Care Alimentum, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710051,"Similac Expert Care Alimentum, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710053,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710054,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",6,0
11710055,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",4,0
11710056,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",7,5
11710350,"Similac Advance, infant formula, NS as to form",9402,"Formula, ready-to-feed",2,8
11710351,"Similac Advance, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",22,19
11710352,"Similac Advance, infant formula, prepared from liquid concentrate, made with water, NFS",9406,"Formula, prepared from concentrate",0,0
11710353,"Similac Advance, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",6,4
11710354,"Similac Advance, infant formula, prepared from liquid concentrate, made with tap water",9406,"Formula, prepared from concentrate",12,11
11710355,"Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water",9406,"Formula, prepared from concentrate",5,16
11710356,"Similac Advance, infant formula, prepared from liquid concentrate, made with baby water",9406,"Formula, prepared from concentrate",28,18
11710357,"Similac Advance, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",83,117
11710358,"Similac Advance, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",87,55
11710359,"Similac Advance, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",153,116
11710360,"Similac Advance Organic, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710361,"Similac Advance Organic, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710363,"Similac Advance Organic, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710367,"Similac Advance Organic, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",6,0
11710368,"Similac Advance Organic, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710369,"Similac Advance Organic, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",0,0
11710370,"Similac Sensitive, infant formula, NS as to form",9402,"Formula, ready-to-feed",2,0
11710371,"Similac Sensitive, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,0
11710372,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with water, NFS",9406,"Formula, prepared from concentrate",0,0
11710373,"Similac Sensitive, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",3,5
11710374,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with tap water",9406,"Formula, prepared from concentrate",9,0
11710375,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with plain bottled water",9406,"Formula, prepared from concentrate",0,0
11710376,"Similac Sensitive, infant formula, prepared from liquid concentrate, made with baby water",9406,"Formula, prepared from concentrate",4,3
11710377,"Similac Sensitive, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",41,54
11710378,"Similac Sensitive, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",33,17
11710379,"Similac Sensitive, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",74,53
11710380,"Similac Sensitive for Spit-Up, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710381,"Similac Sensitive for Spit-Up, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710383,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710387,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",5,0
11710388,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",7,0
11710389,"Similac Sensitive for Spit-Up, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",1,0
11710470,"Similac Expert Care NeoSure, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710471,"Similac Expert Care NeoSure, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",4,11
11710473,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710477,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",8,0
11710478,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",7,0
11710479,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",7,6
11710480,"Similac Go and Grow, infant formula, NS as to form",9402,"Formula, ready-to-feed",2,0
11710481,"Similac Go and Grow, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710482,"Similac Go and Grow, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",2,1
11710483,"Similac Go and Grow, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710484,"Similac Go and Grow, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",3,3
11710620,"Enfamil PREMIUM Newborn, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710621,"Enfamil PREMIUM Newborn, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710626,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",1,0
11710627,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",5,0
11710628,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710629,"Enfamil PREMIUM Newborn, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",3,0
11710630,"Enfamil PREMIUM Infant, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710631,"Enfamil PREMIUM Infant, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710632,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with water, NFS",9406,"Formula, prepared from concentrate",0,0
11710633,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with tap water",9406,"Formula, prepared from concentrate",0,0
11710634,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with plain bottled water",9406,"Formula, prepared from concentrate",0,0
11710635,"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with baby water",9406,"Formula, prepared from concentrate",0,0
11710636,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710637,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",0,0
11710638,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,5
11710639,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",7,5
11710640,"Enfamil PREMIUM LIPIL, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,1
11710642,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS",9406,"Formula, prepared from concentrate",0,0
11710643,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",1,0
11710644,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with tap water",9406,"Formula, prepared from concentrate",14,5
11710645,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water",9406,"Formula, prepared from concentrate",4,0
11710646,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with baby water",9406,"Formula, prepared from concentrate",16,10
11710647,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",50,63
11710648,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",54,40
11710649,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",166,112
11710650,"Enfamil LIPIL, infant formula, NS as to form",9402,"Formula, ready-to-feed",2,0
11710651,"Enfamil LIPIL, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",6,3
11710652,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS",9406,"Formula, prepared from concentrate",0,0
11710653,"Enfamil LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",1,0
11710654,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water",9406,"Formula, prepared from concentrate",7,16
11710655,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water",9406,"Formula, prepared from concentrate",0,0
11710656,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water",9406,"Formula, prepared from concentrate",13,6
11710657,"Enfamil LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",39,29
11710658,"Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",53,45
11710659,"Enfamil LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",57,73
11710660,"Enfamil A.R. Lipil, infant formula, NS as to form",9402,"Formula, ready-to-feed",5,0
11710661,"Enfamil A.R. Lipil, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710663,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710664,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",8,3
11710665,"Enfamil EnfaCare LIPIL, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710666,"Enfamil EnfaCare LIPIL, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,0
11710667,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710668,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710669,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",7,5
11710670,"Enfamil Gentlease LIPIL, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710671,"Enfamil Gentlease LIPIL, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",1,0
11710673,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710674,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",0,0
11710675,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710676,"Enfamil EnfaCare LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",0,0
11710677,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",35,32
11710678,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",31,6
11710679,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",60,39
11710680,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, NS as to form",9402,"Formula, ready-to-feed",0,0
11710681,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",0,8
11710683,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710687,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",6,5
11710688,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710689,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",6,6
11710690,"Enfamil Gentlease Next Step LIPIL, infant formula, NS as to form",9404,"Formula, prepared from powder",0,0
11710693,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with water, NFS",9404,"Formula, prepared from powder",0,0
11710697,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with tap water",9404,"Formula, prepared from powder",0,0
11710698,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with plain bottled water",9404,"Formula, prepared from powder",0,0
11710699,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with baby water",9404,"Formula, prepared from powder",18,7
11710800,"Pediasure, infant formula, NS as to form",9402,"Formula, ready-to-feed",2,9
11710801,"Pediasure, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",21,25
11710805,"Pediasure Fiber, infant formula, NS as to form",9402,"Formula, ready-to-feed",1,0
11710806,"Pediasure Fiber, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",3,2
11710910,"Gerber Good Start  Gentle Plus, infant formula, NS as to form",9402,"Formula, ready-to-feed",2,0
11710911,"Gerber Good Start Gentle Plus, infant formula, ready-to-feed",9402,"Formula, ready-to-feed",2,0
11710912,"Gerber Good Start Gentle Plus, infant formula, prepared from liquid concentrate, made with water, NFS",9406,"Formula, prepared from concentrate",0,0
